# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
2.211965 16.240403 177.218980
2.215965 16.207304 177.627780
2.219964 16.173985 178.035462
2.223964 16.112290 178.442276
2.227964 16.028803 178.848116
2.231964 15.966204 179.252058
2.235964 15.919630 179.653986
2.239964 15.861867 180.054642
2.243964 15.802316 180.454100
2.247964 15.742748 180.852008
2.251964 15.695178 181.248411
2.255964 15.634371 181.643447
2.259964 15.556104 182.037226
2.263964 15.499228 182.429213
2.267964 15.442531 182.819340
2.271964 15.391055 183.208165
2.275964 15.349120 183.595610
2.279964 15.299211 183.981883
2.283963 15.234742 184.367074
2.287963 15.180127 184.750710
2.291963 15.123731 185.132842
2.295963 15.074126 185.513656
2.299963 15.024368 185.893101
2.303963 14.949093 186.271330
2.307963 14.866810 186.648094
2.311963 14.793560 187.022787
2.315963 14.733726 187.395457
2.319963 14.673213 187.766480
2.323963 14.610883 188.136050
2.327963 14.547105 188.504048
2.331963 14.502763 188.870461
2.335963 14.455158 189.235471
2.339963 14.408214 189.599422
2.343962 14.368167 189.962128
2.347962 14.333018 190.323625
2.351962 14.289146 190.684284
2.355962 14.227973 191.044008
2.359962 14.163861 191.402401
2.363962 14.103286 191.759159
2.367962 14.048437 192.114367
2.371962 13.987460 192.468116
2.375962 13.938281 192.820438
2.379962 13.894369 193.171301
2.383962 13.844528 193.521045
2.387962 13.795298 193.869658
2.391962 13.744851 194.216989
2.395962 13.701383 194.563075
2.399962 13.638116 194.907960
2.403962 13.579969 195.251616
2.407961 13.532603 195.593638
2.411961 13.488002 195.934225
2.415961 13.431111 196.273770
2.419961 13.372487 196.612103
2.423961 13.314400 196.948931
2.427961 13.259151 197.284282
2.431961 13.205936 197.618209
2.435961 13.144479 197.950777
2.439961 13.089357 198.281923
2.443961 13.032139 198.611543
2.447961 12.976337 198.939800
2.451961 12.925435 199.266622
2.455961 12.868947 199.592103
2.459961 12.824631 199.916278
2.463961 12.788374 200.239128
2.467961 12.741425 200.560982
2.471960 12.683145 200.881821
2.475960 12.632003 201.201261
2.479960 12.588571 201.519366
2.483960 12.545863 201.836280
2.487960 12.482825 202.152127
2.491960 12.440324 202.466733
2.495960 12.403186 202.779884
2.499960 12.355385 203.092097
2.503960 12.305926 203.403245
2.507960 12.259098 203.713132
2.511960 12.233869 204.021820
2.515960 12.203973 204.329523
2.519960 12.171336 204.636628
2.523960 12.133400 204.942939
2.527960 12.087051 205.248372
2.531959 12.036626 205.552759
2.535959 11.987053 205.855839
2.539959 11.947883 206.157717
2.543959 11.910747 206.458471
2.547959 11.864479 206.758301
2.551959 11.823559 207.057088
2.555959 11.803787 207.354719
2.559959 11.790376 207.651585
2.563959 11.764395 207.948095
2.567959 11.741057 208.244120
2.571959 11.717308 208.539461
2.575959 11.698925 208.834248
2.579959 11.669989 209.128482
2.583959 11.643591 209.422166
2.587959 11.634778 209.715101
2.591959 11.620650 210.007588
2.595958 11.595253 210.299884
2.599958 11.572538 210.591574
2.603958 11.561387 210.882674
2.607958 11.548839 211.173359
2.611958 11.539194 211.463801
2.615958 11.519633 211.753928
2.619958 11.495042 212.043741
2.623958 11.483954 212.332963
2.627958 11.480085 212.621658
2.631958 11.463979 212.910218
2.635958 11.453159 213.198608
2.639958 11.445304 213.486582
2.643958 11.429002 213.774331
2.647958 11.408166 214.061796
2.651958 11.394460 214.348777
2.655958 11.372024 214.635309
2.659957 11.348219 214.921452
2.663957 11.324749 215.206895
2.667957 11.304197 215.491807
2.671957 11.292571 215.776165
2.675957 11.287665 216.060093
2.679957 11.274242 216.343831
2.683957 11.256255 216.627402
2.687957 11.251874 216.910538
2.691957 11.243516 217.193317
2.695957 11.223709 217.476011
2.699957 11.203209 217.758382
2.703957 11.193958 218.040208
2.707957 11.187606 218.321611
2.711957 11.167641 218.602860
2.715957 11.142804 218.883847
2.719956 11.118792 219.164218
2.723956 11.089083 219.443882
2.727956 11.062378 219.722967
2.731956 11.042796 220.001306
2.735956 11.020385 220.279073
2.739956 11.011462 220.556353
2.743956 10.997054 220.833186
2.747956 10.965412 221.109804
2.751956 10.933372 221.385829
2.755956 10.910086 221.660982
2.759956 10.889941 221.935457
2.763956 10.866543 222.209409
2.767956 10.842343 222.482816
2.771956 10.809203 222.755615
2.775956 10.775450 223.027715
2.779956 10.745131 223.298939
2.783955 10.717064 223.569368
2.787955 10.697756 223.839000
2.791955 10.668840 224.108088
2.795955 10.634912 224.376647
2.799955 10.606836 224.644369
2.803955 10.589548 224.911265
2.807955 10.569860 225.177604
2.811955 10.540830 225.443534
2.815955 10.513740 225.708838
2.819955 10.485834 225.973390
2.823955 10.464655 226.237280
2.827955 10.447155 226.500522
2.831955 10.432269 226.763300
2.835955 10.405770 227.025675
2.839955 10.374674 227.287558
2.843954 10.349188 227.548688
2.847954 10.336376 227.809035
2.851954 10.322426 228.068936
2.855954 10.298345 228.328544
2.859954 10.280136 228.587713
2.863954 10.256707 228.846297
2.867954 10.232253 229.104405
2.871954 10.215048 229.361879
2.875954 10.194020 229.618795
2.879954 10.167695 229.875271
2.883954 10.146515 230.131158
2.887954 10.118972 230.386423
2.891954 10.082872 230.641124
2.895954 10.053183 230.895006
2.899954 10.032173 231.147998
2.903954 10.017207 231.400380
2.907953 9.998688 231.652321
2.911953 9.969382 231.903792
2.915953 9.943082 232.154756
2.919953 9.927437 232.404977
2.923953 9.903015 232.654639
2.927953 9.867052 232.903855
2.931953 9.830405 233.152322
2.935953 9.802446 233.399849
2.939953 9.771127 233.646525
2.943953 9.740304 233.892501
2.947953 9.704038 234.137680
2.951953 9.672078 234.382036
2.955953 9.622511 234.625494
2.959953 9.578514 234.867994
2.963953 9.544419 235.109221
2.967953 9.507308 235.349506
2.971952 9.466685 235.588950
2.975952 9.434826 235.827332
2.979952 9.415606 236.064812
