Frequency (THz), Spectral Heat Capacity (J/Kg/K/THz), Cumulative Heat Capacity (J/Kg/K)
8.479860000000000175e-01,1.569767700000000055e+01,3.703216100000000210e+01
8.519860000000000211e-01,1.573394500000000029e+01,3.742610100000000273e+01
8.559860000000000246e-01,1.575663899999999984e+01,3.782110000000000127e+01
8.599860000000000282e-01,1.580481100000000083e+01,3.821686100000000152e+01
8.639860000000000317e-01,1.583575199999999938e+01,3.861342100000000244e+01
8.679860000000000353e-01,1.586200299999999963e+01,3.901115300000000019e+01
8.719860000000000388e-01,1.588902700000000046e+01,3.940948900000000066e+01
8.759860000000000424e-01,1.588966600000000007e+01,3.980847099999999728e+01
8.799860000000000460e-01,1.590940900000000013e+01,4.020786900000000230e+01
8.839860000000000495e-01,1.594313400000000058e+01,4.060733299999999701e+01
8.879860000000000531e-01,1.598437200000000047e+01,4.100757399999999819e+01
8.919859999999999456e-01,1.603488000000000113e+01,4.140878500000000173e+01
8.959859999999999491e-01,1.608941199999999938e+01,4.181113100000000316e+01
8.999859999999999527e-01,1.614067199999999858e+01,4.221482000000000312e+01
9.039859999999999562e-01,1.619447299999999856e+01,4.261984199999999845e+01
9.079850000000000421e-01,1.623057199999999867e+01,4.302615999999999730e+01
9.119850000000000456e-01,1.626639300000000077e+01,4.343355999999999995e+01
9.159850000000000492e-01,1.629591699999999932e+01,4.384189299999999889e+01
9.199850000000000527e-01,1.631974800000000059e+01,4.425109599999999688e+01
9.239849999999999453e-01,1.633377700000000132e+01,4.466096699999999942e+01
9.279849999999999488e-01,1.636599199999999854e+01,4.507132399999999706e+01
9.319849999999999524e-01,1.640145100000000156e+01,4.548214500000000271e+01
9.359849999999999559e-01,1.641287499999999966e+01,4.589390600000000120e+01
9.399849999999999595e-01,1.642944999999999922e+01,4.630637000000000114e+01
9.439849999999999630e-01,1.645575699999999841e+01,4.671906899999999752e+01
9.479849999999999666e-01,1.651503299999999896e+01,4.713228600000000057e+01
9.519849999999999701e-01,1.655210999999999899e+01,4.754654000000000025e+01
9.559849999999999737e-01,1.658059000000000083e+01,4.796223599999999720e+01
9.599849999999999772e-01,1.659685800000000100e+01,4.837861199999999684e+01
9.639849999999999808e-01,1.661623300000000114e+01,4.879556500000000341e+01
9.679849999999999843e-01,1.664849999999999852e+01,4.921292700000000053e+01
9.719839999999999591e-01,1.667144800000000160e+01,4.963089599999999990e+01
9.759839999999999627e-01,1.669219999999999970e+01,5.004952200000000317e+01
9.799839999999999662e-01,1.673326000000000136e+01,5.046877200000000130e+01
9.839839999999999698e-01,1.673323299999999847e+01,5.088876599999999684e+01
9.879839999999999733e-01,1.673975899999999939e+01,5.130953300000000183e+01
9.919839999999999769e-01,1.675215000000000032e+01,5.173015300000000138e+01
9.959839999999999804e-01,1.677487700000000004e+01,5.215101400000000353e+01
9.999839999999999840e-01,1.681493299999999991e+01,5.257230500000000006e+01
1.003983999999999988e+00,1.684850199999999987e+01,5.299435700000000082e+01
1.007983999999999991e+00,1.687884100000000132e+01,5.341739700000000113e+01
1.011983999999999995e+00,1.690554300000000154e+01,5.384122800000000097e+01
1.015983999999999998e+00,1.693015899999999974e+01,5.426578200000000152e+01
1.019984000000000002e+00,1.695304199999999994e+01,5.469097500000000167e+01
1.023984000000000005e+00,1.698274100000000075e+01,5.511676800000000043e+01
1.027984000000000009e+00,1.700303800000000010e+01,5.554318500000000114e+01
1.031983000000000095e+00,1.700318899999999900e+01,5.597028300000000200e+01
1.035983000000000098e+00,1.700998200000000082e+01,5.639757600000000082e+01
1.039983000000000102e+00,1.702709899999999976e+01,5.682498400000000061e+01
1.043983000000000105e+00,1.703815099999999916e+01,5.725267699999999849e+01
1.047983000000000109e+00,1.704949399999999926e+01,5.768076599999999843e+01
1.051982999999999890e+00,1.705803900000000084e+01,5.810911000000000115e+01
1.055982999999999894e+00,1.705484900000000081e+01,5.853772399999999720e+01
1.059982999999999898e+00,1.704620500000000050e+01,5.896644299999999816e+01
1.063982999999999901e+00,1.701797099999999929e+01,5.939497999999999678e+01
1.067982999999999905e+00,1.698091200000000001e+01,5.982311399999999679e+01
1.071982999999999908e+00,1.695412899999999823e+01,6.025037499999999824e+01
1.075982999999999912e+00,1.694640599999999964e+01,6.067675400000000252e+01
1.079982999999999915e+00,1.695007000000000019e+01,6.110272100000000250e+01
1.083982999999999919e+00,1.694425899999999885e+01,6.152866900000000072e+01
1.087982999999999922e+00,1.693364899999999906e+01,6.195461699999999894e+01
1.091982999999999926e+00,1.693050699999999864e+01,6.238033999999999679e+01
1.095982000000000012e+00,1.693141999999999925e+01,6.280587400000000287e+01
1.099982000000000015e+00,1.692416499999999857e+01,6.323128799999999927e+01
1.103982000000000019e+00,1.693303799999999981e+01,6.365674599999999828e+01
1.107982000000000022e+00,1.695626999999999995e+01,6.408212399999999320e+01
1.111982000000000026e+00,1.695191300000000112e+01,6.450795899999999961e+01
1.115982000000000030e+00,1.696535400000000138e+01,6.493420799999999815e+01
1.119982000000000033e+00,1.698571099999999845e+01,6.536038800000000037e+01
1.123982000000000037e+00,1.698619000000000057e+01,6.578703799999999546e+01
1.127982000000000040e+00,1.699789499999999975e+01,6.621398299999999892e+01
1.131982000000000044e+00,1.700203099999999878e+01,6.664095100000000116e+01
1.135982000000000047e+00,1.701625900000000158e+01,6.706822200000000578e+01
1.139982000000000051e+00,1.704562599999999861e+01,6.749564999999999770e+01
1.143982000000000054e+00,1.707729799999999898e+01,6.792365300000000161e+01
1.147982000000000058e+00,1.709909499999999838e+01,6.835247599999999579e+01
1.151982000000000061e+00,1.711148499999999828e+01,6.878197000000000116e+01
1.155982000000000065e+00,1.711446799999999868e+01,6.921189200000000596e+01
1.159980999999999929e+00,1.711185700000000054e+01,6.964200800000000413e+01
1.163980999999999932e+00,1.710833699999999880e+01,7.007200400000000684e+01
1.167980999999999936e+00,1.711174700000000115e+01,7.050203000000000486e+01
1.171980999999999939e+00,1.710868400000000022e+01,7.093202100000000598e+01
