# T(K) Cv(J/cc.K) Cv(J/kg.K)
23.166167 0.297029 0.005357
23.193313 0.297444 0.005376
23.220460 0.297859 0.005394
23.247607 0.298274 0.005413
23.274754 0.298688 0.005432
23.301900 0.299103 0.005451
23.329047 0.299517 0.005470
23.356194 0.299930 0.005490
23.383340 0.300344 0.005509
23.410487 0.300757 0.005528
23.437634 0.301170 0.005547
23.464781 0.301582 0.005566
23.491927 0.301995 0.005586
23.519074 0.302407 0.005605
23.546221 0.302819 0.005625
23.573368 0.303230 0.005644
23.600514 0.303642 0.005664
23.627661 0.304053 0.005683
23.654808 0.304463 0.005703
23.681955 0.304874 0.005722
23.709101 0.305284 0.005742
23.736248 0.305694 0.005762
23.763395 0.306104 0.005782
23.790542 0.306513 0.005802
23.817688 0.306922 0.005821
23.844835 0.307331 0.005841
23.871982 0.307740 0.005861
23.899128 0.308148 0.005881
23.926275 0.308556 0.005901
23.953422 0.308964 0.005922
23.980569 0.309372 0.005942
24.007715 0.309779 0.005962
24.034862 0.310186 0.005982
24.062009 0.310593 0.006002
24.089156 0.310999 0.006023
24.116302 0.311406 0.006043
24.143449 0.311812 0.006064
24.170596 0.312217 0.006084
24.197743 0.312623 0.006105
24.224889 0.313028 0.006125
24.252036 0.313433 0.006146
24.279183 0.313837 0.006166
24.306329 0.314241 0.006187
24.333476 0.314645 0.006208
24.360623 0.315049 0.006229
24.387770 0.315453 0.006250
24.414916 0.315856 0.006270
24.442063 0.316259 0.006291
24.469210 0.316662 0.006312
24.496357 0.317064 0.006333
24.523503 0.317466 0.006354
24.550650 0.317868 0.006376
24.577797 0.318269 0.006397
24.604944 0.318671 0.006418
24.632090 0.319072 0.006439
24.659237 0.319472 0.006461
24.686384 0.319873 0.006482
24.713531 0.320273 0.006503
24.740677 0.320673 0.006525
24.767824 0.321073 0.006546
24.794971 0.321472 0.006568
24.822117 0.321871 0.006589
24.849264 0.322270 0.006611
24.876411 0.322668 0.006633
24.903558 0.323067 0.006655
24.930704 0.323465 0.006676
24.957851 0.323862 0.006698
24.984998 0.324260 0.006720
25.012145 0.324657 0.006742
25.039291 0.325054 0.006764
25.066438 0.325450 0.006786
25.093585 0.325847 0.006808
25.120732 0.326243 0.006830
25.147878 0.326638 0.006852
25.175025 0.327034 0.006874
25.202172 0.327429 0.006897
25.229318 0.327824 0.006919
25.256465 0.328219 0.006941
25.283612 0.328613 0.006964
25.310759 0.329007 0.006986
25.337905 0.329401 0.007009
25.365052 0.329794 0.007031
25.392199 0.330188 0.007054
25.419346 0.330580 0.007077
25.446492 0.330973 0.007099
25.473639 0.331366 0.007122
25.500786 0.331758 0.007145
25.527933 0.332149 0.007168
25.555079 0.332541 0.007191
25.582226 0.332932 0.007214
25.609373 0.333323 0.007236
25.636520 0.333714 0.007260
25.663666 0.334104 0.007283
25.690813 0.334495 0.007306
25.717960 0.334884 0.007329
25.745106 0.335274 0.007352
25.772253 0.335663 0.007375
25.799400 0.336052 0.007399
25.826547 0.336441 0.007422
25.853693 0.336829 0.007446
25.880840 0.337218 0.007469
25.907987 0.337606 0.007493
25.935134 0.337993 0.007516
25.962280 0.338380 0.007540
25.989427 0.338767 0.007563
26.016574 0.339154 0.007587
26.043721 0.339541 0.007611
26.070867 0.339927 0.007635
26.098014 0.340313 0.007659
26.125161 0.340698 0.007683
26.152307 0.341084 0.007707
26.179454 0.341469 0.007731
26.206601 0.341854 0.007755
26.233748 0.342238 0.007779
26.260894 0.342622 0.007803
26.288041 0.343006 0.007827
26.315188 0.343390 0.007851
26.342335 0.343773 0.007876
26.369481 0.344156 0.007900
26.396628 0.344539 0.007925
26.423775 0.344922 0.007949
26.450922 0.345304 0.007974
26.478068 0.345686 0.007998
26.505215 0.346067 0.008023
26.532362 0.346449 0.008047
26.559509 0.346830 0.008072
26.586655 0.347211 0.008097
26.613802 0.347591 0.008122
26.640949 0.347971 0.008147
26.668095 0.348351 0.008172
26.695242 0.348731 0.008197
26.722389 0.349110 0.008222
26.749536 0.349489 0.008247
26.776682 0.349868 0.008272
26.803829 0.350247 0.008297
26.830976 0.350625 0.008322
26.858123 0.351003 0.008348
26.885269 0.351380 0.008373
26.912416 0.351758 0.008398
26.939563 0.352135 0.008424
26.966710 0.352512 0.008449
26.993856 0.352888 0.008475
27.021003 0.353265 0.008500
27.048150 0.353640 0.008526
27.075296 0.354016 0.008552
27.102443 0.354392 0.008577
27.129590 0.354767 0.008603
27.156737 0.355141 0.008629
27.183883 0.355516 0.008655
27.211030 0.355890 0.008681
27.238177 0.356264 0.008707
27.265324 0.356638 0.008733
27.292470 0.357011 0.008759
27.319617 0.357384 0.008785
27.346764 0.357757 0.008811
27.373911 0.358130 0.008838
27.401057 0.358502 0.008864
27.428204 0.358874 0.008890
27.455351 0.359245 0.008917
27.482497 0.359617 0.008943
27.509644 0.359988 0.008970
27.536791 0.360359 0.008996
27.563938 0.360729 0.009023
27.591084 0.361100 0.009050
27.618231 0.361470 0.009077
27.645378 0.361839 0.009103
27.672525 0.362209 0.009130
27.699671 0.362578 0.009157
27.726818 0.362946 0.009184
27.753965 0.363315 0.009211
27.781112 0.363683 0.009238
27.808258 0.364051 0.009265
27.835405 0.364419 0.009292
27.862552 0.364786 0.009320
27.889699 0.365153 0.009347
27.916845 0.365520 0.009374
27.943992 0.365887 0.009401
27.971139 0.366253 0.009429
27.998285 0.366619 0.009456
28.025432 0.366985 0.009484
28.052579 0.367350 0.009512
28.079726 0.367715 0.009539
28.106872 0.368080 0.009567
28.134019 0.368444 0.009595
28.161166 0.368809 0.009622
28.188313 0.369173 0.009650
28.215459 0.369536 0.009678
28.242606 0.369900 0.009706
28.269753 0.370263 0.009734
28.296900 0.370626 0.009762
28.324046 0.370988 0.009790
28.351193 0.371350 0.009819
28.378340 0.371712 0.009847
28.405486 0.372074 0.009875
28.432633 0.372436 0.009903
28.459780 0.372797 0.009932
28.486927 0.373157 0.009960
28.514073 0.373518 0.009989
28.541220 0.373878 0.010017
28.568367 0.374238 0.010046
28.595514 0.374598 0.010075
28.622660 0.374957 0.010103
28.649807 0.375316 0.010132
28.676954 0.375675 0.010161
28.704101 0.376034 0.010190
28.731247 0.376392 0.010219
28.758394 0.376750 0.010248
28.785541 0.377108 0.010277
28.812688 0.377465 0.010306
28.839834 0.377822 0.010335
28.866981 0.378179 0.010364
28.894128 0.378536 0.010393
28.921274 0.378892 0.010423
28.948421 0.379248 0.010452
28.975568 0.379604 0.010482
29.002715 0.379959 0.010511
29.029861 0.380314 0.010541
29.057008 0.380669 0.010570
29.084155 0.381024 0.010600
29.111302 0.381378 0.010630
29.138448 0.381732 0.010659
29.165595 0.382086 0.010689
29.192742 0.382439 0.010719
29.219889 0.382793 0.010749
29.247035 0.383145 0.010779
29.274182 0.383498 0.010809
29.301329 0.383850 0.010839
29.328475 0.384202 0.010869
29.355622 0.384554 0.010899
29.382769 0.384906 0.010930
29.409916 0.385257 0.010960
29.437062 0.385608 0.010990
29.464209 0.385958 0.011021
29.491356 0.386309 0.011051
29.518503 0.386659 0.011082
29.545649 0.387008 0.011113
29.572796 0.387358 0.011143
29.599943 0.387707 0.011174
29.627090 0.388056 0.011205
29.654236 0.388405 0.011235
29.681383 0.388753 0.011266
29.708530 0.389101 0.011297
29.735677 0.389449 0.011328
29.762823 0.389797 0.011359
29.789970 0.390144 0.011390
29.817117 0.390491 0.011422
29.844263 0.390837 0.011453
29.871410 0.391184 0.011484
29.898557 0.391530 0.011515
29.925704 0.391876 0.011547
29.952850 0.392221 0.011578
29.979997 0.392567 0.011610
30.007144 0.392912 0.011641
30.034291 0.393256 0.011673
30.061437 0.393601 0.011705
30.088584 0.393945 0.011736
30.115731 0.394289 0.011768
30.142878 0.394632 0.011800
30.170024 0.394976 0.011832
30.197171 0.395319 0.011864
30.224318 0.395662 0.011896
30.251464 0.396004 0.011928
30.278611 0.396346 0.011960
30.305758 0.396688 0.011992
30.332905 0.397030 0.012025
30.360051 0.397371 0.012057
30.387198 0.397712 0.012089
30.414345 0.398053 0.012122
30.441492 0.398394 0.012154
30.468638 0.398734 0.012187
30.495785 0.399074 0.012219
30.522932 0.399414 0.012252
30.550079 0.399753 0.012285
30.577225 0.400092 0.012318
30.604372 0.400431 0.012350
30.631519 0.400770 0.012383
30.658666 0.401108 0.012416
30.685812 0.401446 0.012449
30.712959 0.401784 0.012482
30.740106 0.402121 0.012515
30.767252 0.402458 0.012549
30.794399 0.402795 0.012582
30.821546 0.403132 0.012615
30.848693 0.403468 0.012649
30.875839 0.403804 0.012682
30.902986 0.404140 0.012715
30.930133 0.404476 0.012749
30.957280 0.404811 0.012783
30.984426 0.405146 0.012816
31.011573 0.405481 0.012850
31.038720 0.405815 0.012884
31.065867 0.406149 0.012918
31.093013 0.406483 0.012951
31.120160 0.406817 0.012985
31.147307 0.407150 0.013019
31.174453 0.407483 0.013054
31.201600 0.407816 0.013088
31.228747 0.408148 0.013122
31.255894 0.408481 0.013156
31.283040 0.408813 0.013190
31.310187 0.409144 0.013225
31.337334 0.409476 0.013259
31.364481 0.409807 0.013294
31.391627 0.410138 0.013328
31.418774 0.410468 0.013363
31.445921 0.410799 0.013398
31.473068 0.411129 0.013432
31.500214 0.411458 0.013467
31.527361 0.411788 0.013502
31.554508 0.412117 0.013537
31.581655 0.412446 0.013572
31.608801 0.412775 0.013607
31.635948 0.413103 0.013642
31.663095 0.413431 0.013677
31.690241 0.413759 0.013712
31.717388 0.414087 0.013747
31.744535 0.414414 0.013783
31.771682 0.414741 0.013818
31.798828 0.415068 0.013854
31.825975 0.415394 0.013889
31.853122 0.415721 0.013925
31.880269 0.416047 0.013960
31.907415 0.416372 0.013996
31.934562 0.416698 0.014032
31.961709 0.417023 0.014068
31.988856 0.417348 0.014104
32.016002 0.417672 0.014139
32.043149 0.417997 0.014175
32.070296 0.418321 0.014212
32.097442 0.418644 0.014248
32.124589 0.418968 0.014284
32.151736 0.419291 0.014320
32.178883 0.419614 0.014356
32.206029 0.419937 0.014393
32.233176 0.420259 0.014429
32.260323 0.420582 0.014466
32.287470 0.420904 0.014502
32.314616 0.421225 0.014539
32.341763 0.421547 0.014575
32.368910 0.421868 0.014612
32.396057 0.422188 0.014649
32.423203 0.422509 0.014686
32.450350 0.422829 0.014723
32.477497 0.423149 0.014760
32.504644 0.423469 0.014797
32.531790 0.423789 0.014834
32.558937 0.424108 0.014871
32.586084 0.424427 0.014908
32.613230 0.424746 0.014946
32.640377 0.425064 0.014983
32.667524 0.425382 0.015020
32.694671 0.425700 0.015058
32.721817 0.426018 0.015095
32.748964 0.426335 0.015133
32.776111 0.426652 0.015171
32.803258 0.426969 0.015208
32.830404 0.427286 0.015246
32.857551 0.427602 0.015284
32.884698 0.427918 0.015322
32.911845 0.428234 0.015360
32.938991 0.428549 0.015398
32.966138 0.428865 0.015436
32.993285 0.429180 0.015474
33.020431 0.429494 0.015512
33.047578 0.429809 0.015551
33.074725 0.430123 0.015589
33.101872 0.430437 0.015627
33.129018 0.430751 0.015666
33.156165 0.431064 0.015704
33.183312 0.431377 0.015743
33.210459 0.431690 0.015782
33.237605 0.432003 0.015821
33.264752 0.432315 0.015859
33.291899 0.432627 0.015898
33.319046 0.432939 0.015937
33.346192 0.433250 0.015976
33.373339 0.433562 0.016015
33.400486 0.433873 0.016054
33.427633 0.434184 0.016093
33.454779 0.434494 0.016133
33.481926 0.434804 0.016172
33.509073 0.435114 0.016211
33.536219 0.435424 0.016251
33.563366 0.435734 0.016290
33.590513 0.436043 0.016330
33.617660 0.436352 0.016369
33.644806 0.436661 0.016409
33.671953 0.436969 0.016449
33.699100 0.437277 0.016489
33.726247 0.437585 0.016529
33.753393 0.437893 0.016569
33.780540 0.438200 0.016609
33.807687 0.438507 0.016649
33.834834 0.438814 0.016689
33.861980 0.439121 0.016729
33.889127 0.439427 0.016769
33.916274 0.439733 0.016810
33.943420 0.440039 0.016850
33.970567 0.440345 0.016890
33.997714 0.440650 0.016931
34.024861 0.440955 0.016971
34.052007 0.441260 0.017012
34.079154 0.441565 0.017053
34.106301 0.441869 0.017094
34.133448 0.442173 0.017135
34.160594 0.442477 0.017175
34.187741 0.442781 0.017216
34.214888 0.443084 0.017257
34.242035 0.443387 0.017299
34.269181 0.443690 0.017340
34.296328 0.443992 0.017381
34.323475 0.444294 0.017422
34.350622 0.444597 0.017464
34.377768 0.444898 0.017505
34.404915 0.445200 0.017547
34.432062 0.445501 0.017588
34.459208 0.445802 0.017630
34.486355 0.446103 0.017671
34.513502 0.446403 0.017713
34.540649 0.446704 0.017755
34.567795 0.447004 0.017797
34.594942 0.447303 0.017839
34.622089 0.447603 0.017881
34.649236 0.447902 0.017923
34.676382 0.448201 0.017965
34.703529 0.448500 0.018007
34.730676 0.448798 0.018050
34.757823 0.449096 0.018092
34.784969 0.449394 0.018135
34.812116 0.449692 0.018177
34.839263 0.449990 0.018220
34.866409 0.450287 0.018262
34.893556 0.450584 0.018305
34.920703 0.450881 0.018348
34.947850 0.451177 0.018390
34.974996 0.451473 0.018433
35.002143 0.451769 0.018476
35.029290 0.452065 0.018519
35.056437 0.452360 0.018562
35.083583 0.452656 0.018606
